ConditionIndex,SignedDiff_rad_s,AbsDiff_rad_s,LeftHasReference,SpeedLeft_rad_s,SpeedRight_rad_s,Response,RT_s,Correct
6,1.17809724509617,1.17809724509617,0,4.31968989868597,3.14159265358979,2,0.121008192001682,0
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,1,0.190251730000455,1
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,2,0.14361284000006,0
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,1,0.264254236999477,0
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,2,0.264429973000006,0
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,0.151737938998849,1
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,2,0.135531034999076,0
2,0.392699081698724,0.392699081698724,1,3.14159265358979,3.53429173528852,2,0.90099491500041,1
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,1,0.165681028998733,1
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,1.04552818200136,1
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,1,1.03343366300032,1
6,1.17809724509617,1.17809724509617,0,4.31968989868597,3.14159265358979,1,0.510020474001067,1
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,1,1.59742389599887,0
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,2,0.990091727000618,0
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,1,1.12328499399882,0
